player,matches,runs,balls,fours,sixes,runs_per_match,strike_rate,boundary_runs,boundary_percentage,run_score,strike_rate_score,runs_per_match_score,boundary_score,experience_score,scouting_score,player_category,rank
CJ Anderson,29,538,421,40,31,18.55,127.79,346,64.31,5.756473357586133,55.56570136533612,41.49888143176734,73.45516847515707,10.545454545454543,32.61,Developing Player,161
IK Pathan,82,1150,947,88,38,14.02,121.44,580,50.43,12.30472929595549,52.8045917036264,31.364653243847872,57.60137064534552,29.818181818181817,32.52,Developing Player,162
DJ Mitchell,15,351,267,28,10,23.4,131.46,172,49.0,3.7556173764177183,57.161492303678585,52.34899328859059,55.96801827527128,5.454545454545454,32.22,Developing Player,163
MK Lomror,35,527,372,33,30,15.06,141.67,312,59.2,5.638775946929168,61.60100878337247,33.69127516778524,67.61850371216448,12.727272727272728,32.15,Developing Player,164
STR Binny,66,880,682,66,35,13.33,129.03,474,53.86,9.415792852557244,56.10487868510305,29.821029082774047,61.51913192461451,24.0,31.84,Developing Player,165
SW Billings,27,503,385,40,20,18.63,130.65,280,55.67,5.381981596404879,56.8092877641534,41.67785234899328,63.58652198743575,9.818181818181818,31.76,Developing Player,166
RS Bopara,22,531,453,39,16,24.14,117.22,252,47.46,5.681575005349882,50.96964953474215,54.00447427293065,54.209023415191325,8.0,31.75,Developing Player,167
S Sohal,20,368,289,34,18,18.4,127.34,244,66.3,3.937513374705756,55.37003217671103,41.16331096196868,75.72815533980582,7.272727272727272,31.75,Developing Player,167
GJ Bailey,36,663,541,59,19,18.42,122.55,350,52.79,7.0939439332334695,53.28724236890165,41.20805369127517,60.29697315819532,13.090909090909092,31.39,Developing Player,169
AD Mathews,41,724,573,44,29,17.66,126.35,350,48.34,7.746629574149369,54.93955996173581,39.50782997762863,55.21416333523701,14.909090909090908,31.36,Developing Player,170
Shakib Al Hasan,52,795,635,73,21,15.29,125.2,418,52.58,8.506312861117056,54.43951647969389,34.20581655480984,60.05711022272987,18.90909090909091,31.32,Developing Player,171
Azhar Mahmood,21,388,303,39,13,18.48,128.05,234,60.31,4.15150866680933,55.67875467431951,41.34228187919463,68.88635065676758,7.636363636363637,31.29,Developing Player,172
TL Suman,39,676,573,55,26,17.33,117.98,376,55.62,7.233040873100792,51.30011305330898,38.76957494407159,63.52941176470588,14.181818181818182,30.88,Developing Player,173
RN ten Doeschate,21,326,235,26,15,15.52,138.72,194,59.51,3.488123261288252,60.31828854683015,34.72035794183445,67.97258709308966,7.636363636363637,30.81,Developing Player,174
NLTC Perera,30,424,306,23,26,14.13,138.56,248,58.49,4.536700192595763,60.24871727976346,31.610738255033556,66.80753854940035,10.909090909090908,30.74,Developing Player,175
LA Pomersbach,16,302,243,25,13,18.88,124.28,178,58.94,3.231328910763964,54.03948169406036,42.23713646532438,67.32153055396915,5.818181818181818,30.4,Developing Player,176
Ramandeep Singh,26,299,203,17,19,11.5,147.29,182,60.87,3.199229616948427,64.04469953909036,25.727069351230423,69.52598515134208,9.454545454545457,30.17,Aggressive Batter,177
MV Boucher,23,394,307,32,13,17.13,128.34,206,52.28,4.215707254440402,55.804852595877904,38.3221476510067,59.71444888635066,8.363636363636363,29.9,Developing Player,178
C de Grandhomme,21,303,224,18,18,14.43,135.27,180,59.41,3.2420286753691423,58.81815810070442,32.28187919463087,67.85836664762992,7.636363636363637,29.85,Developing Player,179
JP Faulkner,45,527,385,36,23,11.71,136.88,282,53.51,5.638775946929168,59.51821897556309,26.19686800894855,61.11936036550543,16.363636363636363,29.84,Developing Player,180
Gurkeerat Singh,32,511,422,55,11,15.97,121.09,286,55.97,5.467579713246309,52.652404556918,35.727069351230426,63.92918332381497,11.636363636363637,29.78,Developing Player,181
JC Archer,40,326,219,18,22,8.15,148.86,204,62.58,3.488123261288252,64.72736759718238,18.232662192393736,71.4791547687036,14.545454545454543,29.65,Aggressive Batter,182
Shahbaz Ahmed,40,603,487,33,28,15.08,123.82,300,49.75,6.451958056922748,53.83946430124359,33.73601789709172,56.824671616219305,14.545454545454543,29.6,Developing Player,183
R Ashwin,93,833,703,64,29,8.96,118.49,430,51.62,8.912903916113846,51.52187146708409,20.04474272930649,58.96059394631639,33.81818181818182,29.29,Developing Player,184
AP Tare,27,339,272,40,11,12.56,124.63,226,66.67,3.627220201155575,54.19166884076876,28.09843400447427,76.15077098800685,9.818181818181818,29.03,Developing Player,185
AM Nayar,50,672,573,55,20,13.44,117.28,340,50.6,7.1902418146800775,50.99573875989216,30.06711409395973,57.79554540262707,18.181818181818183,28.88,Developing Player,186
A Manohar,20,292,235,23,14,14.6,124.26,176,60.27,3.1243312647121764,54.03078528567702,32.662192393736014,68.84066247858367,7.272727272727272,28.74,Developing Player,187
Anuj Rawat,21,318,267,26,14,15.14,119.1,188,59.12,3.402525144446822,51.7871119227759,33.87024608501118,67.5271273557967,7.636363636363637,28.43,Developing Player,188
AL Menaria,23,401,354,24,18,17.43,113.28,204,50.87,4.290605606676653,49.25645708322463,38.99328859060402,58.103940605368365,8.363636363636363,28.26,Developing Player,189
DJG Sammy,20,295,241,15,18,14.75,122.41,168,56.95,3.156430558527713,53.22636751021828,32.997762863534675,65.0485436893204,7.272727272727272,28.24,Developing Player,190
JEC Franklin,16,327,300,25,9,20.44,109.0,154,47.09,3.4988230258934307,47.39542568919037,45.727069351230426,53.78640776699029,5.818181818181818,28.18,Developing Player,191
DB Das,22,304,260,23,16,13.82,116.92,188,61.84,3.252728439974321,50.83920340899208,30.917225950783,70.63392347230155,8.0,27.9,Developing Player,192
DB Ravi Teja,25,375,315,35,9,15.0,119.05,194,51.73,4.012411726942007,51.76537090181756,33.55704697986577,59.0862364363221,9.090909090909092,27.87,Developing Player,193
SN Thakur,43,349,262,32,13,8.12,133.21,206,59.03,3.734217847207361,57.92242803722063,18.165548098434,67.42432895488292,15.636363636363637,27.73,Developing Player,194
CA Pujara,22,390,390,50,4,17.73,100.0,224,57.44,4.172908196019687,43.48204191668841,39.66442953020134,65.6082238720731,8.0,27.62,Developing Player,195
P Negi,35,365,288,27,16,10.43,126.74,204,55.89,3.90541408089022,55.10913992521089,23.33333333333333,63.83780696744717,12.727272727272728,27.47,Developing Player,196
LR Shukla,33,405,350,33,16,12.27,115.71,228,56.3,4.333404665097368,50.31307070180016,27.449664429530195,64.30611079383209,12.0,27.22,Developing Player,197
MD Mishra,17,237,206,24,8,13.94,115.05,144,60.76,2.5358442114273485,50.02608922515002,31.18568232662192,69.40034266133638,6.181818181818182,27.19,Developing Player,198
PP Chawla,86,624,561,56,20,7.26,111.23,344,55.13,6.676653113631501,48.36507522393252,16.241610738255034,62.96973158195317,31.272727272727277,27.1,Developing Player,199
JO Holder,34,324,261,16,21,9.53,124.14,190,58.64,3.4667237320778943,53.97860683537699,21.319910514541384,66.97886921758996,12.363636363636363,26.91,Developing Player,200
J Botha,28,409,358,39,5,14.61,114.25,186,45.48,4.376203723518082,49.678232889816506,32.68456375838926,51.94745859508851,10.181818181818182,26.7,Developing Player,201
M Manhas,38,514,470,43,10,13.53,109.36,232,45.14,5.499679007061845,47.55196104009045,30.26845637583892,51.55910908052541,13.818181818181818,26.4,Developing Player,202
UBT Chand,20,300,299,32,9,15.0,100.33,182,60.67,3.2099293815536054,43.62553265501348,33.55704697986577,69.29754426042261,7.272727272727272,26.4,Developing Player,202
B Chipli,21,280,250,28,7,13.33,112.0,154,55.0,2.9959340894500324,48.69988694669102,29.821029082774047,62.82124500285551,7.636363636363637,26.23,Developing Player,204
VVS Laxman,20,282,266,33,5,14.1,106.02,162,57.45,3.0173336186603894,46.09966084007305,31.543624161073826,65.61964591661908,7.272727272727272,26.18,Developing Player,205
DT Christian,41,460,394,23,19,11.22,116.75,206,44.78,4.921891718382196,50.76528393773372,25.1006711409396,51.14791547687037,14.909090909090908,26.04,Developing Player,206
Lalit Yadav,21,305,285,27,7,14.52,107.02,150,49.18,3.2634282045795,46.53448125923993,32.48322147651007,56.1736150770988,7.636363636363637,25.65,Developing Player,207
Harpreet Brar,27,249,206,20,10,9.22,120.87,140,56.22,2.664241386689493,52.55674406470128,20.626398210290827,64.2147344374643,9.818181818181818,25.6,Developing Player,208
KV Sharma,40,352,295,20,17,8.8,119.32,182,51.7,3.7663171410228977,51.88277241499261,19.686800894854585,59.05197030268419,14.545454545454543,25.59,Developing Player,209
PK Garg,19,273,238,16,9,14.37,114.71,118,43.22,2.9210357372137814,49.87825028263328,32.147651006711406,49.36607652769846,6.909090909090909,25.55,Developing Player,210
Y Nagar,20,285,259,20,9,14.25,110.04,134,47.02,3.0494329124759254,47.84763892512393,31.879194630872483,53.70645345516848,7.272727272727272,25.5,Developing Player,211
R Bhatia,47,342,284,24,13,7.28,120.42,174,50.88,3.6593194949711103,52.36107487607619,16.286353467561522,58.11536264991434,17.09090909090909,25.15,Developing Player,212
R Sathish,24,270,230,22,6,11.25,117.39,124,45.93,2.888936443398245,51.04356900600053,25.167785234899327,52.46145059965735,8.727272727272728,24.92,Developing Player,213
HV Patel,44,280,238,18,15,6.36,117.65,162,57.86,2.9959340894500324,51.15662231498391,14.228187919463087,66.087949743004,16.0,24.89,Developing Player,214
AA Jhunjhunwala,15,217,209,19,5,14.47,103.83,106,48.85,2.3218489193237746,45.147404122097576,32.371364653243845,55.79668760708167,5.454545454545454,24.7,Developing Player,215
SP Goswami,21,293,293,32,3,13.95,100.0,146,49.83,3.135031029317355,43.48204191668841,31.20805369127516,56.91604797258709,7.636363636363637,24.66,Developing Player,216
P Kumar,57,340,312,22,17,5.96,108.97,190,55.88,3.637919965760753,47.38238107661536,13.333333333333334,63.826384922901205,20.727272727272727,24.24,Developing Player,217
K Rabada,34,262,238,21,11,7.71,110.08,150,57.25,2.8033383265568155,47.86503174189061,17.248322147651006,65.3912050256996,12.363636363636363,24.17,Developing Player,218
K Goel,16,218,231,17,9,13.62,94.37,122,55.96,2.332548683928953,41.034002956778856,30.469798657718115,63.917761279268994,5.818181818181818,24.14,Developing Player,219
M Kaif,22,259,249,22,6,11.77,104.02,124,47.88,2.77123903274128,45.23002000173928,26.33109619686801,54.68874928612222,8.0,23.81,Developing Player,220
R Vinay Kumar,42,310,274,21,9,7.38,113.14,138,44.52,3.3169270276053924,49.19558222454127,16.51006711409396,50.85094231867505,15.272727272727272,23.37,Developing Player,221
UT Yadav,48,208,201,16,9,4.33,103.48,118,56.73,2.2255510378771666,44.99521697538917,9.686800894854583,64.79725870930896,17.454545454545457,22.19,Developing Player,222
B Kumar,75,354,376,34,4,4.72,94.15,160,45.2,3.787716670233255,40.93834246456214,10.559284116331096,51.62764134780126,27.27272727272727,21.56,Developing Player,223
A Mishra,55,381,417,31,5,6.93,91.37,154,40.42,4.076610314573079,39.7295416992782,15.503355704697984,46.16790405482581,20.0,21.08,Developing Player,224
GH Vihari,23,284,319,23,1,12.35,89.03,98,34.51,3.038733147870747,38.71206191842769,27.62863534675615,39.41747572815534,8.363636363636363,21.05,Developing Player,225
SK Warne,27,198,213,14,6,7.33,92.96,92,46.46,2.11855339182538,40.42090616575354,16.398210290827738,53.06681896059396,9.818181818181818,20.41,Developing Player,226
Kuldeep Yadav,41,210,253,18,3,5.12,83.0,90,42.86,2.246950567087524,36.09009479085138,11.454138702460847,48.9548829240434,14.909090909090908,18.49,Developing Player,227
